Ngbd	Address	SaleYearandMonth	Saletype	PrevSaleYearandMonth	SalePrice	LNSalePrice	PrevSalePrice	LNSalePriceLNPrevSalePrice	Saleyear1981	Saleyear1982	Saleyear1983	Saleyear1984	Saleyear1985	Saleyear1986	Saleyear1987	Saleyear1988	Saleyear1989	Saleyear1990	Saleyear1991	Saleyear1992	Saleyear1993	Saleyear1994	Saleyear1995	Saleyear1996	Saleyear1997	Saleyear1998	Saleyear1999	Saleyear2000	Saleyear2001	Saleyear2002	Saleyear2003	Saleyear2004	Saleyear2005	Saleyear2006	Saleyear2007	Saleyear2008	Saleyear2009	Saleyear2010	Saleyear2011	Saleyear2012	Saleyear2013	Saleyear2014	Saleyear2015	Saleyear2016	Saleyear2017	Saleyear2018	Lotsize	Storeys	Exteriorbrick	BasementFullfinished	Centralairconditioning	Garage	Bedrooms	Bathrooms	HousesCondition	Unattachedadultresidents	Youngadultresidents	Familieswithatleastonechildathome	Owneroccupiers	Dwellingunitsinneedofmajorrepairs	ResidentsmovingintoorwithinaDAduringpast5years	Adultunemploymentrate	Bluecollarworkers	Universityeducatedadults	Adultmedianincome	Visibleminorityresidents	Distancefromdowntown	DistancefromDetroitriverbank	Distancefromnearestelementaryschool	Constant	dLotsize	dStoreys	dExteriorbrick	dBasementfullfinished	dCentralairconditioning	dGarage	dBedrooms	dBathrooms	dHousesCondition	aUnattachedadultresidents	dYoungadultresidents	dFamilieswithatleastonechildathome	dOwneroccupiers	dDwellingunitsinneedofmajorrepairs	dResidentsmovingintoorwithinaDAduringpast5years	dAdultunemploymentrate	dBluecollarworkers	dUniversityeducatedadults	dAdultmedianincome	dVisibleminorityresidents
0	"234 LOUIS AV"	1981.05	1	1980.99	28000	10.239959789157341			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.19	2	0	0	0	0	4	2	0	56.98924731182796	8.799999999999999	26.666666666666668	39.130434782608695	23.91304347826087	55.85585585585585	8.88888888888889	12	7.59493670886076	18.511	44.91525423728814	0.8934234448751033	0.2047409068813244	0.5959222882240829	1																				
0	"360 GLENGARRY AV"	1981.09	1	1980.99	36500	10.505067539570582			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.46	1.5	0	0	0	2	4	1	0	56.98924731182796	8.799999999999999	26.666666666666668	39.130434782608695	23.91304347826087	55.85585585585585	8.88888888888889	12	7.59493670886076	18.511	44.91525423728814	0.7160168582037232	0.3783830992141488	0.7986856012605077	1																				
0	"429 PARENT AV"	1982.01	1	1980.99	22500	10.021270588192511			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76	2	1	0	0	2	4	2	0	44.927536231884055	8.13953488372093	29.629629629629626	33.33333333333333	10.526315789473683	53.01204819277109	2.857142857142857	19.047619047619047	16.923076923076923	19.676000000000002	26.744186046511626	1.2226930036394228	0.3877320983114596	0.26873669350881024	1																				
0	"409 GLADSTONE AV"	1982.06	1	1980.99	26500	10.184900011974314			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18	1.5	0	0	0	0	3	1	0	51.28205128205128	7.000000000000001	39.130434782608695	45.23809523809524	14.634146341463413	75.51020408163265	6.578947368421052	19.565217391304348	22.950819672131146	21.64	28.000000000000004	1.843936493169725	0.32357648695485164	0.3844829052913996	1																				
0	"189 LOUIS AV"	1982.08	1	1980.99	7000	8.85366542803745			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56	1	1	0	0	1	2	1	0	56.98924731182796	8.799999999999999	26.666666666666668	39.130434782608695	23.91304347826087	55.85585585585585	8.88888888888889	12	7.59493670886076	18.511	44.91525423728814	0.8623107898005262	0.16192166202630354	0.633917512874719	1																				
0	"748 Assumption S"	1982.08	1	1980.99	20000	9.903487552536127			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36	1.5	0	0	0	1.5	6	2	0	51.89873417721519	7.6923076923076925	43.47826086956522	39.02439024390244	30	71.875	10.126582278481013	15.789473684210526	12.676056338028168	20.909	51.42857142857142	0.9541124836975594	0.3501666556214087	0.5425590736111494	1																				
0	"532 MARENTETTE A"	1982.09	1	1980.99	15000	9.615805480084347			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.59	1.5	0	1	0	0	5	2	0	51.89873417721519	7.6923076923076925	43.47826086956522	39.02439024390244	30	71.875	10.126582278481013	15.789473684210526	12.676056338028168	20.909	51.42857142857142	1.1567404086920632	0.518292631959079	0.4045937689187069	1																				
0	"534 PIERRE AV"	1982.12	1	1980.99	25000	10.126631103850338			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63	1	0	0	0	0	3	1	0	49.35064935064935	10.416666666666668	33.33333333333333	35	12.5	47.25274725274725	4	11.627906976744185	27.142857142857142	23.074	27.083333333333332	1.5967333670248758	0.44207053468850743	0.11103859071838018	1																				
0	"476 WINDERMERE R"	1983.03	1	1980.99	12500	9.433483923290392			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	2	0	0	0	0	6	2	0	51.80722891566265	8.823529411764707	44.44444444444444	61.702127659574465	10.416666666666668	75.53191489361703	8.045977011494253	5.88235294117647	35.44303797468354	25.809	16.666666666666664	2.046210306353417	0.29846481537313196	0.5820057359181396	1																				
0	"494 GLADSTONE AV"	1983.06	1	1980.99	9000	9.104979856318357			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.45	2	0	0	0	0	4	1	0	51.28205128205128	7.000000000000001	39.130434782608695	45.23809523809524	14.634146341463413	75.51020408163265	6.578947368421052	19.565217391304348	22.950819672131146	21.64	28.000000000000004	1.8757758405966127	0.3779046062253715	0.4019099266872761	1																				
0	"305 LINCOLN RD"	1983.07	1	1980.99	22000	9.998797732340453			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42	2	1	1	0	0	3	2	0	54.25531914893617	7.4074074074074066	22.727272727272727	31.372549019607842	7.8431372549019605	68.08510638297872	2.4390243902439024	19.672131147540984	36.36363636363637	27.357	12.371134020618557	1.9039256444702373	0.13334462715564355	0.5137993402054586	1																				
0	"358 MOY Av"	1983.07	1	1980.99	20000	9.903487552536127			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63	2.5	0	1	0	0	4	1	0	51.24999999999999	6.185567010309279	32.142857142857146	53.48837209302325	4.651162790697675	42.857142857142854	3.896103896103896	20	12	29.081	18.556701030927837	1.7341304901226617	0.21077171308480103	0.3437969846353337	1																				
0	"350 HALL AV"	1983.07	1	1980.99	30500	10.325481962595504			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68	2	0	0	0	2	4	2	0	51.24999999999999	6.185567010309279	32.142857142857146	53.48837209302325	4.651162790697675	42.857142857142854	3.896103896103896	20	12	29.081	18.556701030927837	1.6390882572780987	0.2268789564205338	0.26161520752977974	1																				
0	"1094 CHATHAM ST"	1983.08	1	1980.99	10750	9.28266103355581			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	1	0	0	0	0	3	1	0	38.2716049382716	8.791208791208792	30.434782608695656	8.333333333333332	6.122448979591836	51.724137931034484	3.7037037037037033	15.625	30.666666666666664	27.217000000000002	29.347826086956523	1.4016658367267332	0.15731921836770657	0.2924226013765827	1																				
0	"679 Brant St E"	1983.09	1	1980.99	11500	9.350102314351341			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62	1.5	0	0	0	0	3	1	0	51.89873417721519	7.6923076923076925	43.47826086956522	39.02439024390244	30	71.875	10.126582278481013	15.789473684210526	12.676056338028168	20.909	51.42857142857142	0.9833784212494197	0.48961566334330686	0.5768703133074571	1																				
